price,no_of_bedrooms,no_of_bathrooms,sqft_living,sqft_lot,no_of_floors,zipcode,house_age
215000.0,3,1.0,1150,7560,1.0,98058,66
210000.0,4,1.5,1920,10403,1.0,98023,65
730000.0,4,2.75,3660,150282,2.0,98053,34
245000.0,3,1.75,1720,9342,1.0,98092,43
540000.0,3,2.25,2100,20018,1.0,98166,76
299000.0,4,2.5,2400,6078,2.0,98001,23
510000.0,3,2.5,2540,40106,2.0,98074,33
198000.0,4,1.75,2080,7200,1.0,98001,58
950000.0,5,3.25,3400,7452,2.0,98007,25
300000.0,4,1.75,2200,7600,2.0,98092,46
528000.0,5,1.75,2140,8580,1.0,98033,62
507000.0,5,3.25,3850,16249,2.0,98092,22
770000.0,4,3.25,4270,6384,2.0,98065,23
255000.0,3,1.75,1340,7210,1.0,98031,49
220000.0,1,1.5,1100,3451,1.5,98198,46
690700.0,5,2.75,2870,5349,2.0,98059,19
447000.0,2,1.0,1320,8380,1.0,98177,71
755000.0,6,2.0,2150,4505,1.0,98119,72
700000.0,4,1.5,2470,6000,1.5,98199,84
250000.0,4,2.75,1910,7700,1.0,98030,44
320000.0,3,2.5,2130,6969,2.0,98038,21
565000.0,4,2.5,2240,14667,2.0,98059,35
754300.0,5,2.75,1800,4500,2.0,98107,85
650000.0,3,1.5,2160,9000,1.0,98177,75
529888.0,4,2.5,3140,8455,2.0,98059,21
432000.0,3,2.5,1920,9812,2.0,98028,24
235000.0,3,1.0,1050,7670,1.5,98022,69
994900.0,4,3.5,3695,6556,2.0,98053,10
489000.0,4,2.5,3910,8442,2.0,98038,24
800000.0,4,2.75,3010,7427,2.0,98052,14
370000.0,4,1.5,1370,9957,1.0,98034,52
436000.0,4,2.75,2080,9600,1.0,98034,45
395000.0,3,2.5,2250,3757,2.0,98059,18
377691.0,5,1.75,2120,8399,1.0,98133,82
370000.0,5,3.0,2220,5185,2.0,98118,21
515000.0,3,2.5,1440,4394,1.0,98029,37
169000.0,3,1.0,910,7686,1.0,98001,55
475000.0,3,1.0,1270,4268,1.0,98117,103
420000.0,3,2.5,2480,6180,2.0,98031,25
1300000.0,6,2.75,2630,9420,2.0,98103,124
822000.0,3,2.0,2410,13300,2.0,98006,39
1500000.0,4,2.75,2930,25697,1.0,98004,60
485000.0,3,2.25,1570,6810,1.0,98074,36
270000.0,4,1.0,1900,8505,1.0,98055,68
300000.0,6,2.5,2590,11250,1.0,98055,46
878000.0,4,2.5,3810,7728,2.0,98074,17
590000.0,3,2.5,2290,4203,2.0,98006,23
611900.0,1,2.25,1220,2100,2.0,98033,78
240000.0,3,1.75,1100,7373,1.0,98092,56
395000.0,4,2.5,2810,10951,2.0,98092,21
169000.0,3,1.0,890,7110,1.0,98178,67
200500.0,3,2.0,1280,14972,1.0,98031,61
308000.0,3,2.5,2320,7140,2.0,98003,34
290256.0,3,2.25,1720,7885,2.0,98023,41
279950.0,3,1.75,1530,8800,1.0,98058,57
195000.0,3,1.75,1580,7875,1.0,98022,45
630000.0,3,1.0,1360,13000,1.0,98010,79
1160000.0,4,3.0,2680,15438,2.0,98039,122
478000.0,3,2.25,1640,3896,2.0,98029,30
835000.0,3,2.25,2520,6690,2.0,98126,80
639000.0,3,2.25,1400,2421,2.0,98034,19
623000.0,4,2.75,2300,12633,2.0,98074,40
220000.0,3,1.75,1900,7680,1.0,98178,65
526000.0,3,2.25,2000,18099,1.0,98006,46
243500.0,2,1.0,900,5016,1.0,98118,76
750000.0,4,2.5,2980,4930,2.0,98006,24
329000.0,4,2.0,1850,9126,1.0,98059,61
525000.0,4,1.0,1570,4000,1.5,98102,104
190000.0,2,1.0,670,3101,1.0,98118,76
772650.0,4,2.5,2660,10800,1.0,98005,69
355000.0,3,2.5,2110,4038,2.0,98042,35
650000.0,3,1.75,1970,54450,1.0,98075,44
678500.0,3,2.75,1210,3600,1.5,98103,114
669950.0,4,2.5,2670,11877,2.0,98074,28
850000.0,3,2.25,3000,18450,1.0,98077,41
572000.0,3,2.75,2200,3885,2.0,98074,22
492450.0,3,1.75,1540,13002,1.0,98074,40
813000.0,3,1.75,2080,11866,1.0,98005,64
710000.0,3,2.0,1780,9732,1.0,98040,57
792500.0,3,1.5,1960,2400,2.0,98119,113
285900.0,5,1.5,1690,7725,1.5,98032,63
389000.0,3,2.0,2080,12972,1.0,98070,43
675000.0,3,2.25,2070,2833,2.0,98136,58
352000.0,2,0.75,760,33801,1.0,98059,93
1050000.0,4,3.25,4020,11588,2.0,98059,24
768500.0,4,1.75,3620,10400,1.0,98005,59
500000.0,4,2.0,2330,7778,1.0,98125,63
685000.0,3,2.5,1460,8800,1.0,98040,68
648475.0,4,2.75,2250,5700,1.0,98109,73
655000.0,6,5.0,2850,6600,2.0,98033,30
895000.0,4,2.75,2640,4000,2.0,98115,99
195000.0,3,1.0,1310,9554,1.0,98001,62
368000.0,4,2.5,2720,7350,2.0,98023,35
997000.0,4,3.5,3430,13609,2.0,98059,23
335000.0,3,2.75,1990,19991,1.0,98072,47
250000.0,3,2.0,1170,7258,1.0,98001,40
278500.0,3,1.75,1390,8980,1.0,98022,39
260000.0,4,1.5,1540,7300,2.0,98001,51
162500.0,2,1.0,760,6141,1.0,98118,104
239000.0,4,1.0,1280,8316,1.0,98168,74
600000.0,4,2.5,2990,5122,2.0,98075,20
350000.0,4,2.25,1770,7778,2.0,98031,26
852500.0,5,3.75,3830,8131,2.0,98075,19
485000.0,3,2.5,2870,5490,2.0,98055,16
299000.0,3,1.0,1520,8320,1.0,98133,71
227450.0,2,1.0,660,6509,1.0,98056,72
383000.0,3,1.0,1800,5612,1.0,98126,82
835000.0,2,3.25,3570,392475,1.0,98024,26
760000.0,5,1.5,3050,2992,1.5,98112,93
532500.0,2,1.0,820,3000,1.0,98103,100
635000.0,3,2.5,3610,26359,1.0,98053,26
438500.0,3,2.0,1490,3072,1.0,98144,112
545500.0,3,2.5,1560,9361,1.5,98108,88
675000.0,3,1.75,1660,9549,1.0,98033,68
450000.0,3,1.75,1180,4080,1.0,98117,96
199999.0,3,1.0,960,10815,1.0,98010,124
375000.0,3,1.5,1630,16170,1.0,98034,36
600000.0,4,2.25,2260,43847,2.0,98072,42
292600.0,3,1.5,1520,7123,1.0,98056,65
1040000.0,5,2.75,3050,8904,1.0,98040,68
610000.0,3,1.0,1000,4959,1.0,98105,79
397450.0,4,2.5,2650,9451,2.0,98042,31
382000.0,3,2.25,1750,15528,1.0,98155,61
370000.0,3,2.25,1770,7667,1.0,98177,58
520000.0,3,2.25,1770,7667,1.0,98177,58
260000.0,2,1.0,770,7906,1.0,98155,76
890000.0,4,2.5,3370,7200,2.0,98177,10
344000.0,5,2.0,2130,8412,1.0,98155,78
205000.0,3,1.0,1050,8498,1.0,98031,66
379000.0,5,2.5,2803,8550,1.0,98003,61
424240.0,3,2.0,2080,12094,2.0,98052,42
589950.0,3,2.0,2080,12094,2.0,98052,42
582000.0,4,1.75,2120,4650,1.0,98117,73
349000.0,3,2.5,2550,7709,2.0,98023,35
658000.0,3,1.0,1290,12005,1.0,98033,58
294000.0,5,2.75,1790,5000,1.5,98106,109
690000.0,5,3.5,2720,7598,2.0,98115,31
600000.0,3,1.0,1040,5000,1.5,98107,112
199990.0,3,1.0,840,5200,1.0,98042,55
220000.0,3,1.75,1650,8850,1.0,98188,65
440000.0,4,2.25,2080,15750,1.0,98034,48
439990.0,4,2.5,1540,1994,2.0,98029,10
815000.0,4,2.5,3880,7208,2.0,98075,18
535000.0,4,2.25,1860,3766,2.0,98029,29
215000.0,3,1.75,1280,10016,1.0,98003,49
605000.0,3,2.5,3200,35012,1.5,98027,59
349900.0,3,2.5,2200,7278,2.0,98058,34
495000.0,3,1.0,1570,5510,1.0,98115,84
515100.0,3,2.5,2074,4900,2.0,98034,27
620000.0,4,2.5,2450,55387,2.0,98053,30
657500.0,4,2.25,2520,10370,2.0,98074,44
250000.0,5,1.75,2190,8250,1.0,98055,61
385000.0,5,1.75,2190,8250,1.0,98055,61
307000.0,3,1.5,2320,7500,1.0,98019,48
288000.0,3,2.5,1370,9253,1.0,98042,30
226450.0,3,1.75,1730,7200,1.5,98032,80
390000.0,3,2.5,1640,6991,1.0,98125,57
350000.0,3,1.0,1300,10236,1.0,98045,53
368000.0,3,1.5,1560,7884,1.0,98125,55
469000.0,2,1.0,1120,4284,1.0,98105,103
865000.0,3,2.25,2670,150270,2.0,98072,39
515000.0,5,2.5,3810,15916,1.5,98058,57
410000.0,3,1.75,1440,8560,1.0,98034,45
210000.0,4,1.0,1200,43560,1.0,98042,56
460000.0,3,1.75,1520,7700,1.0,98034,55
241500.0,4,2.5,2500,9654,1.0,98023,45
322200.0,4,2.25,2010,19000,2.0,98042,49
279000.0,4,1.0,1210,6000,1.5,98178,81
303000.0,2,1.0,1100,27007,1.0,98070,81
420000.0,3,1.5,1050,6615,1.0,98199,74
249000.0,3,1.75,2120,18335,1.0,98188,63
294950.0,3,1.0,1240,8840,1.0,98125,72
1320000.0,4,3.5,3460,3997,2.0,98103,20
335000.0,3,1.75,1270,4800,1.0,98117,71
1160000.0,4,2.25,2980,8051,1.5,98199,89
520000.0,2,1.0,1250,3708,1.5,98117,98
560000.0,4,1.75,1740,8800,1.0,98007,59
243400.0,4,1.5,1730,7464,2.0,98032,65
405000.0,3,2.0,1240,14404,1.0,98053,36
495000.0,2,1.0,1670,14695,1.5,98033,94
350000.0,4,2.5,2140,7095,2.0,98038,32
368500.0,5,2.75,2530,7601,1.0,98188,32
99000.0,2,1.0,960,8236,1.0,98058,76
1070000.0,4,3.75,4130,12320,2.0,98059,23
430000.0,4,1.75,1710,7724,1.0,98155,41
412500.0,3,1.5,1490,8475,1.0,98052,61
1120000.0,4,3.25,4750,62365,2.0,98052,36
915000.0,4,2.5,3400,35062,2.0,98052,36
535000.0,3,2.5,2210,7620,2.0,98052,30
390000.0,3,1.5,1650,8676,1.0,98133,45
499000.0,3,1.5,1260,3135,1.0,98107,80
375000.0,3,1.0,1960,7955,1.0,98177,61
349000.0,4,2.5,1800,7620,2.0,98055,29
635000.0,3,2.25,1940,7482,1.0,98004,60
682000.0,4,2.75,2820,8009,2.0,98075,23
321027.0,4,2.25,2820,16770,1.0,98023,58
150000.0,2,1.0,720,4120,1.0,98002,109
410000.0,3,1.75,1640,17583,1.0,98034,55
449950.0,3,2.0,1560,4080,2.0,98115,101
194990.0,6,2.5,1560,7144,1.0,98118,111
475000.0,4,1.75,1910,8775,1.0,98028,68
530000.0,5,1.75,1570,3000,2.0,98105,116
319950.0,4,2.5,2038,7643,2.0,98092,13
210000.0,3,2.25,1720,9435,1.0,98023,46
485000.0,3,2.75,1670,3330,1.5,98107,99
774000.0,4,2.75,2830,10240,2.0,98075,26
478000.0,4,2.0,1690,8208,1.0,98008,66
385000.0,4,2.5,1620,5280,2.0,98146,100
595000.0,4,2.5,2360,43017,2.0,98077,35
285000.0,3,1.5,1480,7117,1.0,98028,64
723000.0,4,2.5,2700,4004,2.0,98029,20
279000.0,3,1.5,1780,16000,1.0,98198,64
195000.0,3,1.5,1430,7560,1.0,98058,66
625000.0,2,1.0,2160,2192,1.0,98119,99
270000.0,3,1.75,1800,9314,2.0,98011,45
559000.0,2,2.0,1930,5520,1.0,98053,18
474000.0,4,2.25,1960,14834,1.0,98072,48
303500.0,4,2.5,1920,7345,2.0,98038,32
350000.0,3,1.75,1470,8645,1.0,98155,75
367500.0,5,3.0,2980,10064,1.0,98155,84
595000.0,5,3.0,2980,10064,1.0,98155,84
589000.0,3,2.0,2360,118483,1.0,98024,43
585000.0,3,1.75,1790,87213,1.0,98077,50
482975.0,3,2.25,2130,8801,1.0,98155,48
365500.0,4,2.5,2030,4499,2.0,98058,21
570000.0,4,2.0,1790,7800,1.0,98008,52
335000.0,3,2.5,2260,8040,2.0,98092,34
767500.0,4,2.0,2350,4815,1.5,98103,110
386591.0,3,2.5,1690,1613,2.0,98029,10
279000.0,3,1.0,1320,5750,1.5,98108,111
620000.0,4,2.5,2690,32780,2.0,98014,26
407000.0,4,2.25,2810,23400,1.0,98198,66
364250.0,3,2.5,2280,213879,2.0,98038,30
399000.0,4,2.5,2870,9292,2.0,98058,45
766950.0,3,2.5,3030,30007,1.5,98077,32
710000.0,4,2.75,2940,4232,2.0,98029,20
320000.0,3,1.0,1190,4120,1.0,98118,95
300000.0,3,2.5,1800,3253,2.0,98108,23
263000.0,3,1.75,1580,9187,1.0,98038,31
445000.0,3,2.5,1730,4408,2.0,98029,28
554000.0,3,2.0,1910,9001,1.0,98008,67
335000.0,2,1.75,1000,5100,1.0,98117,118
307000.0,4,2.75,2520,6964,1.0,98031,37
404000.0,3,1.0,1420,8160,1.0,98125,77
775000.0,4,3.5,3080,5250,2.0,98075,21
220000.0,3,1.0,1060,9126,1.0,98022,68
518000.0,4,2.5,2160,9750,2.0,98028,41
1600000.0,4,3.5,4060,9486,2.0,98033,19
315000.0,1,2.25,1940,2550,2.0,98133,45
572650.0,4,2.5,2250,11349,2.0,98034,33
350000.0,2,1.0,1620,9205,1.0,98034,103
285000.0,2,1.0,920,5850,1.0,98108,124
231000.0,3,2.5,1370,7247,2.0,98032,29
179000.0,3,1.0,920,5200,1.0,98042,55
244000.0,3,1.5,1360,9625,1.0,98030,61
185850.0,3,1.5,1630,11662,1.0,98188,81
610000.0,6,2.5,3610,12033,2.0,98011,54
419000.0,4,2.5,3010,9155,2.0,98038,19
779000.0,3,1.75,2320,6400,1.0,98199,67
695000.0,5,3.0,3290,14134,1.0,98052,20
319900.0,3,2.5,2040,7580,2.0,98092,26
329000.0,3,2.75,1920,7700,1.0,98023,46
475226.0,3,2.5,2120,4512,2.0,98011,36
638000.0,3,2.5,2170,5000,2.0,98029,21
440000.0,2,1.5,1330,15873,1.0,98074,40
214000.0,3,2.0,1580,5080,1.0,98146,82
600000.0,3,2.75,3580,14217,2.0,98023,35
935000.0,4,2.0,2580,4500,2.0,98102,119
630000.0,4,1.75,1930,10210,1.5,98125,83
575000.0,3,2.5,2120,4780,2.0,98053,20
345000.0,3,2.5,1990,20466,1.5,98010,37
323000.0,4,1.75,1310,9690,1.0,98011,57
425000.0,3,2.5,2670,13218,1.0,98042,36
411000.0,2,2.25,1910,108900,1.0,98038,52
299800.0,4,1.5,1530,9000,1.0,98014,48
823000.0,6,1.75,2920,5000,2.5,98122,116
200000.0,3,1.0,1010,8108,1.0,98155,69
760000.0,4,1.75,2450,13300,1.0,98006,37
359950.0,4,2.5,1820,3899,2.0,98019,25
375000.0,4,2.5,2090,8325,1.0,98056,41
295000.0,2,1.75,2200,89298,1.0,98027,51
250000.0,4,3.0,2250,7882,2.0,98198,38
497000.0,3,2.25,1450,1387,3.0,98115,24
520000.0,4,2.5,2280,8798,2.0,98028,37
365000.0,4,3.5,2720,6781,2.0,98055,25
459900.0,3,2.25,2250,8000,1.0,98034,48
158000.0,3,2.0,1090,6090,1.0,98118,84
294700.0,3,2.0,1970,9600,1.0,98003,57
439950.0,4,2.25,2780,15075,2.0,98059,39
899000.0,4,2.25,2290,40946,1.0,98008,64
535000.0,3,1.75,2330,12141,1.0,98072,41
530000.0,4,4.5,4060,10800,2.0,98188,17
215000.0,4,2.0,1470,7000,1.0,98032,57
290000.0,2,1.0,1620,5400,1.0,98125,98
798000.0,5,2.75,3220,5934,2.0,98052,18
785000.0,4,2.5,3270,9578,2.0,98027,31
433000.0,3,1.75,2160,8565,1.0,98028,53
425000.0,2,1.0,1150,6835,1.0,98118,102
654000.0,4,2.5,2240,7540,1.0,98115,62
215000.0,3,1.5,1280,5065,2.0,98002,41
232000.0,3,1.0,840,6540,1.0,98042,54
675000.0,3,1.75,1680,10500,1.0,98005,65
665000.0,5,2.75,2330,8000,1.0,98052,52
835000.0,4,2.5,3030,29163,2.0,98053,26
525000.0,6,3.0,2880,7560,2.0,98144,44
780000.0,3,2.75,2910,3094,2.0,98125,85
844000.0,4,3.25,3090,67518,2.0,98053,36
680000.0,4,2.75,2720,54048,2.0,98072,39
290000.0,3,1.5,1310,8100,1.0,98034,59
560000.0,2,1.0,1790,15783,1.0,98117,65
605500.0,3,2.5,2830,6536,2.0,98072,35
762500.0,4,2.5,3150,5979,2.0,98052,19
1740000.0,5,3.25,3930,5500,2.0,98033,10
665000.0,6,2.75,2840,8346,1.0,98118,63
540000.0,5,1.0,2480,4400,1.5,98122,105
375000.0,3,2.5,1930,6180,1.0,98155,63
342000.0,3,1.0,1260,6826,1.0,98125,80
340000.0,3,1.0,670,23522,1.0,98024,56
1250000.0,5,3.25,3930,12719,2.0,98040,50
693000.0,4,2.5,3160,13063,2.0,98075,25
638500.0,4,1.75,1770,12462,1.0,98166,62
805000.0,5,3.0,2240,18265,2.0,98027,61
250000.0,3,1.0,990,8062,1.0,98198,64
325000.0,3,2.5,1580,4698,2.0,98038,26
270000.0,4,1.75,1560,4290,2.0,98108,30
880000.0,6,2.5,2640,3680,2.0,98126,102
300000.0,2,1.75,2120,6350,1.0,98103,100
290000.0,2,1.0,1200,8750,1.0,98155,76
2850000.0,4,4.0,5040,17208,1.0,98006,48
259950.0,3,1.0,1460,5825,1.0,98056,82
1780000.0,4,3.25,4890,13402,2.0,98059,20
299950.0,3,1.0,1580,5250,1.0,98056,70
483000.0,3,2.25,2100,43560,1.0,98077,47
890000.0,3,2.25,2060,8640,1.0,98033,58
719000.0,3,2.5,1690,4500,1.5,98116,96
785000.0,4,3.0,3370,100681,1.0,98058,47
660000.0,3,2.5,2330,3995,2.0,98029,18
264000.0,4,1.75,1820,8118,1.0,98031,44
575000.0,3,1.75,1890,11141,1.0,98006,56
1220000.0,4,3.75,3820,53574,1.0,98072,30
475000.0,3,2.5,2770,98881,2.0,98022,33
845800.0,4,3.5,3020,12750,2.0,98033,34
352500.0,3,1.75,1170,8182,1.0,98155,62
347000.0,3,1.0,1270,8400,1.0,98011,69
560000.0,4,2.75,1950,6192,2.0,98029,32
323000.0,4,2.75,2230,50094,1.0,98092,47
595000.0,3,1.75,2220,22081,1.5,98166,102
257500.0,4,2.0,2060,6400,1.0,98002,47
450000.0,3,1.0,1100,4600,1.0,98116,107
410000.0,4,1.0,1140,7208,1.0,98072,54
810000.0,3,1.75,1980,13503,1.0,98008,72
372500.0,5,3.0,2480,10090,1.0,98178,20
325000.0,3,1.0,1050,9083,1.0,98155,73
280000.0,3,1.0,1260,7660,1.0,98133,77
258000.0,3,2.0,1680,19978,1.0,98198,76
329950.0,4,1.0,1360,5900,1.5,98155,75
836000.0,4,2.5,2450,12987,1.0,98007,44
365000.0,5,2.5,2260,7040,2.0,98038,25
111300.0,2,1.0,1060,6000,1.0,98002,116
864000.0,4,2.5,3720,105850,2.0,98053,40
725000.0,3,1.75,1610,8613,1.0,98033,62
550000.0,4,2.5,3350,6605,2.0,98011,34
130000.0,2,1.0,790,7500,1.0,98198,73
765000.0,2,1.75,1660,4000,1.0,98112,84
255000.0,3,1.5,1420,7480,1.0,98058,61
439500.0,3,2.5,2050,40003,1.0,98027,47
268000.0,3,1.75,1250,5546,1.0,98055,37
985000.0,3,1.75,1700,8534,1.0,98004,71
751305.0,4,2.5,2660,8469,2.0,98006,30
280000.0,3,1.0,1350,7553,1.5,98118,110
304000.0,4,2.0,1810,8750,1.0,98058,57
200000.0,4,2.75,2210,13235,2.0,98003,36
325000.0,3,1.5,2120,41325,1.0,98092,51
736000.0,3,2.25,2470,11603,2.0,98052,36
426500.0,4,2.5,2700,6515,2.0,98058,26
640000.0,2,1.75,1760,4400,1.0,98103,94
230000.0,5,2.0,1930,6120,1.5,98146,83
366350.0,4,1.0,1680,5043,1.5,98118,113
365000.0,2,1.0,1390,8336,1.0,98166,78
482000.0,4,2.25,2240,8322,2.0,98034,45
345000.0,4,1.0,1980,7991,1.5,98058,62
682000.0,3,1.75,1830,5120,1.5,98122,121
657500.0,3,1.75,980,6002,1.0,98033,82
895000.0,6,2.5,3550,6533,2.0,98144,99
425000.0,3,1.5,1660,5665,1.0,98118,106
532500.0,4,2.5,2490,8750,2.0,98008,48
540000.0,4,2.5,2329,9436,2.0,98011,29
578000.0,3,2.25,1790,9580,2.0,98006,40
1090000.0,3,3.0,2830,6041,2.0,98118,109
322500.0,3,1.0,1160,9750,1.0,98077,56
140000.0,3,1.0,1000,10560,1.0,98003,69
485000.0,3,2.5,2540,51836,1.0,98042,48
575000.0,2,1.5,1750,19709,1.5,98010,46
421000.0,3,2.5,2890,21780,2.0,98188,24
355000.0,4,2.0,1870,3497,1.0,98106,70
515000.0,4,2.25,2200,6967,2.0,98011,38
309000.0,3,1.0,1300,7200,1.0,98146,72
815000.0,5,2.25,3410,35536,2.0,98005,50
285000.0,3,1.0,1160,7875,1.0,98125,71
700000.0,3,1.75,2100,5000,1.5,98117,108
289000.0,3,2.5,1490,8628,2.0,98038,30
458000.0,4,3.0,3280,62726,1.5,98077,45
230000.0,3,1.75,1450,8378,1.0,98023,46
432500.0,3,2.5,1930,7120,1.0,98133,63
288000.0,3,1.75,1660,10440,1.0,98045,46
354000.0,3,1.75,1260,12330,1.0,98072,56
119500.0,3,1.0,1170,11000,1.0,98019,44
805000.0,4,3.0,3350,23781,1.0,98006,45
435000.0,3,2.5,1420,2581,3.0,98133,20
260000.0,3,1.75,2170,10018,1.0,98001,46
377000.0,4,1.75,1800,8385,1.0,98133,74
602000.0,4,2.5,2000,7376,2.0,98029,34
530000.0,3,1.75,1660,4800,1.0,98116,83
525000.0,4,2.0,1540,3740,1.0,98117,78
250000.0,2,1.5,1160,1086,2.0,98155,18
681000.0,3,1.0,1700,6356,1.5,98118,117
625000.0,3,1.75,1580,20588,1.0,98125,54
448500.0,3,2.5,2080,3920,2.0,98118,14
260000.0,3,2.0,1030,7260,1.0,98146,77
538000.0,3,1.75,1770,8050,1.0,98008,61
385500.0,3,2.0,1540,7947,1.0,98011,63
428400.0,4,2.5,2650,6000,2.0,98038,24
346290.0,4,2.75,2690,9240,2.0,98022,26
587000.0,4,2.75,2210,8430,2.0,98075,25
355000.0,4,2.5,2390,6775,2.0,98056,21
650000.0,5,2.75,2580,7865,1.0,98007,60
340000.0,4,2.5,2160,5455,2.0,98056,21
565000.0,4,2.5,2230,8624,1.0,98052,55
630000.0,4,2.0,2000,5000,1.5,98144,99
227000.0,3,1.0,1280,7198,1.0,98022,108
600000.0,4,2.75,2810,17674,1.0,98052,46
540400.0,4,1.75,1680,6758,1.0,98008,50
569000.0,3,2.5,2150,8060,2.0,98033,29
735000.0,3,2.5,2820,8159,2.0,98029,20
434000.0,3,2.25,1750,9353,1.0,98034,37
578888.0,2,2.0,1060,4000,1.0,98103,110
465425.0,4,2.75,2430,20720,1.0,98072,57
280500.0,4,2.75,2660,7754,1.5,98023,38
539950.0,2,2.0,1670,3507,1.0,98029,17
406430.0,3,2.0,1380,15426,1.0,98075,56
1150000.0,4,3.75,4160,35000,2.0,98053,33
250000.0,3,2.5,1790,6191,2.0,98031,32
266000.0,3,2.5,1940,8547,1.0,98030,35
258000.0,3,2.0,1390,7200,1.0,98058,28
472000.0,3,2.0,2200,21890,1.0,98155,63
530000.0,3,2.25,1264,1536,2.0,98105,21
302282.0,2,1.0,1095,5120,1.5,98122,123
370000.0,2,1.0,850,6213,1.0,98136,108
625000.0,4,2.0,1760,5307,1.5,98105,76
142500.0,1,1.0,690,6825,1.0,98002,107
334000.0,3,1.75,1400,7405,1.0,98133,63
362000.0,5,3.0,1810,3000,2.0,98118,26
181000.0,2,1.0,1310,4000,1.0,98144,82
241500.0,3,1.0,1400,10425,1.0,98003,56
245000.0,3,1.75,2350,12720,1.0,98030,60
227500.0,3,1.0,1150,8848,1.0,98042,56
158550.0,5,1.5,1710,8100,1.5,98032,63
450000.0,3,2.25,1660,10247,1.0,98034,56
485000.0,3,1.75,1950,10080,1.0,98034,57
353000.0,4,1.75,1780,9794,1.0,98077,57
500000.0,4,3.0,2450,4668,2.0,98028,20
360000.0,1,2.25,2060,10600,1.5,98003,97
357500.0,3,1.5,1540,11858,1.0,98059,58
272000.0,3,2.5,1650,13816,2.0,98014,26
422000.0,3,1.0,1160,7854,1.0,98125,64
365000.0,2,2.0,1440,15000,1.0,98072,39
450000.0,3,1.75,2150,13789,1.0,98155,58
275053.0,2,1.0,1060,6504,1.0,98155,74
1880000.0,3,2.75,2620,17919,1.0,98039,75
725000.0,3,1.75,1630,9000,1.0,98004,69
235000.0,3,1.75,1840,9697,1.0,98030,39
510000.0,2,1.0,820,4206,1.0,98125,75
489950.0,2,1.0,820,4206,1.0,98125,75
463000.0,3,2.5,2010,4195,2.0,98034,26
536000.0,4,2.25,1990,5948,2.0,98029,33
375000.0,4,2.5,2990,6145,2.0,98003,21
630000.0,4,2.5,2540,4727,2.0,98034,25
362000.0,3,2.25,1640,14374,1.0,98148,61
350000.0,4,2.75,2500,11659,1.0,98003,45
1690000.0,4,3.5,4020,13515,2.0,98004,23
255000.0,3,2.0,1500,8775,1.0,98166,81
269000.0,4,2.5,1594,7665,1.0,98002,49
370000.0,4,3.0,2130,4838,1.5,98055,94
270000.0,3,1.0,1130,7920,1.0,98059,63
265000.0,3,2.0,1690,9516,1.0,98022,27
487000.0,2,1.0,1440,4046,1.0,98117,78
835000.0,4,3.25,3270,6027,2.0,98074,23
850000.0,4,3.25,4350,112750,1.0,98027,18
575000.0,4,2.75,1610,11201,1.0,98033,42
335000.0,3,1.0,950,8000,1.0,98034,56
318000.0,3,1.0,1010,7200,1.0,98155,76
510000.0,3,2.0,1420,11325,1.0,98027,44
242500.0,3,1.5,1200,9720,1.0,98042,59
750000.0,5,2.25,2020,8400,1.0,98040,61
439900.0,5,3.5,3390,7950,2.0,98056,21
710000.0,2,1.0,1700,3040,1.5,98119,110
2400000.0,5,3.25,3410,9088,2.0,98119,112
435000.0,3,1.75,2030,13700,1.0,98011,48
874000.0,4,2.75,2860,6867,1.0,98115,78
385000.0,4,1.75,1690,4080,1.0,98144,40
110000.0,2,1.0,760,4746,1.0,98055,94
477000.0,3,1.75,1780,8085,1.0,98011,48
500000.0,3,2.0,1550,6394,1.5,98126,106
885000.0,4,2.5,4090,11225,2.0,98075,19
235000.0,2,1.0,880,5600,1.0,98178,69
210000.0,3,2.75,1320,15236,1.0,98030,29
320000.0,2,1.0,950,4000,1.0,98144,114
406000.0,3,1.75,1390,7904,1.0,98056,39
350000.0,3,1.75,1900,10225,1.0,98166,61
350000.0,2,0.75,1392,43710,1.5,98070,46
720000.0,4,2.5,3340,8930,2.0,98065,25
604700.0,4,2.75,2750,14982,1.0,98198,43
343000.0,3,1.0,1400,5662,1.5,98027,104
558000.0,3,2.25,2220,15757,1.0,98074,42
364000.0,4,1.0,1210,7740,1.5,98126,102
420000.0,3,1.75,2390,11242,1.0,98155,65
450000.0,5,2.0,1870,7344,1.5,98007,64
392000.0,2,1.5,940,5000,1.0,98126,99
100000.0,4,1.0,1120,2685,1.0,98055,85
480000.0,3,2.5,1250,1103,3.0,98103,19
212000.0,3,1.5,1060,9225,1.0,98003,69
560000.0,5,2.5,2410,8960,1.0,98011,46
359950.0,5,2.75,2844,3990,2.0,98092,11
535000.0,4,2.5,2200,110642,1.0,98077,45
980000.0,5,4.0,3460,5400,2.0,98056,12
720000.0,2,1.0,1580,2199,2.0,98103,103
619950.0,2,1.0,1520,5400,1.0,98115,73
489000.0,3,2.5,2260,19821,2.0,98058,30
415000.0,4,2.0,1800,2970,1.0,98115,101
672500.0,4,2.5,2650,11108,2.0,98074,37
352500.0,3,1.0,1000,4171,1.0,98052,39
258750.0,4,2.0,2300,8400,1.0,98003,62
350000.0,3,1.0,1080,7000,1.0,98133,108
152000.0,3,1.0,902,10464,1.0,98198,59
378500.0,2,1.0,730,7528,1.0,98115,78
1020000.0,4,1.75,2600,41041,1.5,98033,59
